"icd","vocabulary_id","ICD_string","phecode","phecode_string","category_num","category"
"A01.4","ICD10","Paratyphoid fever, unspecified","ID_001","Salmonella","01","Infections"
"A02","ICD10","Other salmonella infections","ID_001","Salmonella","01","Infections"
"A02.0","ICD10","Salmonella enteritis","ID_001","Salmonella","01","Infections"
"A02.1","ICD10","Salmonella sepsis","ID_001","Salmonella","01","Infections"
"A02.2","ICD10","Localized salmonella infections","ID_001","Salmonella","01","Infections"
"A02.8","ICD10","Other specified salmonella infections","ID_001","Salmonella","01","Infections"
"A02.9","ICD10","Salmonella infection, unspecified","ID_001","Salmonella","01","Infections"
"A01","ICD10","Typhoid and paratyphoid fevers","ID_001","Salmonella","01","Infections"
"A01.0","ICD10","Typhoid fever","ID_001","Salmonella","01","Infections"
"A01.1","ICD10","Paratyphoid fever A","ID_001","Salmonella","01","Infections"
"A01.2","ICD10","Paratyphoid fever B","ID_001","Salmonella","01","Infections"
"A01.3","ICD10","Paratyphoid fever C","ID_001","Salmonella","01","Infections"
"B95.7","ICD10","Other staphylococcus as the cause of diseases classified to other chapters","ID_002","Staphylococcus","01","Infections"
"A05.0","ICD10","Foodborne staphylococcal intoxication","ID_002","Staphylococcus","01","Infections"
"B95.8","ICD10","Unspecified staphylococcus as the cause of diseases classified to other chapters","ID_002","Staphylococcus","01","Infections"
"M00.0","ICD10","Staphylococcal arthritis and polyarthritis","ID_002","Staphylococcus","01","Infections"
"G00.3","ICD10","Staphylococcal meningitis","ID_002","Staphylococcus","01","Infections"
"P23.2","ICD10","Congenital pneumonia due to staphylococcus","ID_002","Staphylococcus","01","Infections"
"A41.1","ICD10","Sepsis due to other specified staphylococcus","ID_002","Staphylococcus","01","Infections"
"A41.2","ICD10","Sepsis due to unspecified staphylococcus","ID_002","Staphylococcus","01","Infections"
"A49.0","ICD10","Staphylococcal infection, unspecified site","ID_002","Staphylococcus","01","Infections"
"J15.2","ICD10","Pneumonia due to staphylococcus","ID_002","Staphylococcus","01","Infections"
"L00","ICD10","Staphylococcal scalded skin syndrome","ID_002","Staphylococcus","01","Infections"
"B95.6","ICD10","Staphylococcus aureus as the cause of diseases classified to other chapters","ID_002.1","Staphylococcus aureus","01","Infections"
"A41.0","ICD10","Sepsis due to Staphylococcus aureus","ID_002.1","Staphylococcus aureus","01","Infections"
"J15.5","ICD10","Pneumonia due to Escherichia coli","ID_003","Escherichia coli","01","Infections"
"A04.0","ICD10","Enteropathogenic Escherichia coli infection","ID_003","Escherichia coli","01","Infections"
"A04.1","ICD10","Enterotoxigenic Escherichia coli infection","ID_003","Escherichia coli","01","Infections"
"A04.2","ICD10","Enteroinvasive Escherichia coli infection","ID_003","Escherichia coli","01","Infections"
"B96.2","ICD10","Escherichia coli [E. coli] as the cause of diseases classified to other chapters","ID_003","Escherichia coli","01","Infections"
"A04.3","ICD10","Enterohemorrhagic Escherichia coli infection","ID_003","Escherichia coli","01","Infections"
"A04.4","ICD10","Other intestinal Escherichia coli infections","ID_003","Escherichia coli","01","Infections"
"P23.4","ICD10","Congenital pneumonia due to Escherichia coli","ID_003","Escherichia coli","01","Infections"
"B95.4","ICD10","Other streptococcus as the cause of diseases classified to other chapters","ID_004","Streptococcus","01","Infections"
"B95.5","ICD10","Unspecified streptococcus as the cause of diseases classified to other chapters","ID_004","Streptococcus","01","Infections"
"J15.4","ICD10","Pneumonia due to other streptococci","ID_004","Streptococcus","01","Infections"
"J02.0","ICD10","Streptococcal pharyngitis","ID_004","Streptococcus","01","Infections"
"G00.2","ICD10","Streptococcal meningitis","ID_004","Streptococcus","01","Infections"
"A46","ICD10","Erysipelas","ID_004","Streptococcus","01","Infections"
"A40.8","ICD10","Other streptococcal sepsis","ID_004","Streptococcus","01","Infections"
"A40.9","ICD10","Streptococcal sepsis, unspecified","ID_004","Streptococcus","01","Infections"
"J03.0","ICD10","Streptococcal tonsillitis","ID_004","Streptococcus","01","Infections"
"J20.2","ICD10","Acute bronchitis due to streptococcus","ID_004","Streptococcus","01","Infections"
"A40","ICD10","Streptococcal sepsis","ID_004","Streptococcus","01","Infections"
"A49.1","ICD10","Streptococcal and enterococcal infection, unspecified site","ID_004","Streptococcus","01","Infections"
"B95.3","ICD10","Streptococcus pneumoniae as the cause of diseases classified to other chapters","ID_004","Streptococcus","01","Infections"
"G00.1","ICD10","Pneumococcal meningitis","ID_004.1","Streptococcus pneumoniae","01","Infections"
"A40.3","ICD10","Sepsis due to Streptococcus pneumoniae","ID_004.1","Streptococcus pneumoniae","01","Infections"
"M00.1","ICD10","Pneumococcal arthritis and polyarthritis","ID_004.1","Streptococcus pneumoniae","01","Infections"
"J13","ICD10","Pneumonia due to Streptococcus pneumoniae","ID_004.1","Streptococcus pneumoniae","01","Infections"
"A40.0","ICD10","Sepsis due to streptococcus, group A","ID_004.2","Group A Streptococcus","01","Infections"
"I00","ICD10","Rheumatic fever without mention of heart involvement","ID_004.2","Group A Streptococcus","01","Infections"
"I01","ICD10","Rheumatic fever with heart involvement","ID_004.2","Group A Streptococcus","01","Infections"
"I01.0","ICD10","Acute rheumatic pericarditis","ID_004.2","Group A Streptococcus","01","Infections"
"I01.1","ICD10","Acute rheumatic endocarditis","ID_004.2","Group A Streptococcus","01","Infections"
