"phecode","ICD","flag"
"ID_001","A01.01",10
"ID_001","A01.09",10
"ID_001","002.9",9
"ID_001","002.1",9
"ID_001","A02.22",10
"ID_001","003.9",9
"ID_001","A02.20",10
"ID_001","A02.9",10
"ID_001","003.22",9
"ID_001","A02",10
"ID_001","003.20",9
"ID_001","A02.0",10
"ID_001","A01.02",10
"ID_001","A01.4",10
"ID_001","A01.00",10
"ID_001","003.0",9
"ID_001","A02.1",10
"ID_001","002.3",9
"ID_001","A01.03",10
"ID_001","002.0",9
"ID_001","A01.3",10
"ID_001","003.1",9
"ID_001","003.8",9
"ID_001","A02.2",10
"ID_001","A02.8",10
"ID_001","003.2",9
"ID_001","A01.2",10
"ID_001","A02.24",10
"ID_001","A01.0",10
"ID_001","A01.1",10
"ID_001","003",9
"ID_001","003.24",9
"ID_001","A02.25",10
"ID_001","002.2",9
"ID_001","002",9
"ID_001","A02.21",10
"ID_001","003.29",9
"ID_001","A01",10
"ID_001","A02.29",10
"ID_001","003.21",9
"ID_001","A01.05",10
"ID_002","M00.049",10
"ID_002",482.40,9
"ID_002","M00.04",10
"ID_002","J15.212",10
"ID_002","A41.01",10
"ID_002","M00.031",10
"ID_002","M00.022",10
"ID_002",482.41,9
"ID_002","A41.1",10
"ID_002","041.19",9
"ID_002","M00.019",10
"ID_002","M00.01",10
"ID_002",482.49,9
"ID_002","M00.09",10
"ID_002","A41.2",10
"ID_002","M00.072",10
"ID_002","P36.3",10
"ID_002","J15.2",10
"ID_002","B95.8",10
"ID_002","M00.069",10
"ID_002",320.3,9
"ID_002","B95.62",10
"ID_002","041.10",9
"ID_002","005.0",9
"ID_002","M00.06",10
"ID_002","M00.051",10
"ID_002","J15.20",10
"ID_002","038.1",9
"ID_002","M00.042",10
"ID_002","A41.02",10
"ID_002","A49.02",10
"ID_002","M00.039",10
"ID_002","B95.61",10
"ID_002","M00.03",10
"ID_002",482.42,9
"ID_002","J15.21",10
"ID_002","038.10",9
"ID_002","M00.021",10
"ID_002","M00.012",10
"ID_002","A49.01",10
"ID_002","M00.00",10
"ID_002","038.11",9
"ID_002","B95.6",10
"ID_002","G00.3",10
"ID_002","M00.08",10
"ID_002","P36.30",10
"ID_002","M00.071",10
"ID_002","038.19",9
"ID_002","B95.7",10
"ID_002","M00.062",10
"ID_002","041.1",9
"ID_002","M00.059",10
"ID_002","M00.05",10
"ID_002","M00.041",10
"ID_002","P36.2",10
"ID_002","M00.032",10
"ID_002","008.41",9
"ID_002","L00",10
"ID_002","J15.211",10
"ID_002","A41.0",10
"ID_002","M00.029",10
"ID_002","M00.02",10
"ID_002","J15.29",10
"ID_002","041.12",9
"ID_002","M00.011",10
"ID_002","038.12",9
"ID_002","A05.0",10
"ID_002","A49.0",10
"ID_002","P23.2",10
"ID_002","M00.0",10
"ID_002","P36.39",10
"ID_002","M00.079",10
"ID_002","M00.07",10
"ID_002",482.4,9
"ID_002","041.11",9
"ID_002","M00.061",10
"ID_002","M00.052",10
"ID_002.1","041.12",9
"ID_002.1","038.12",9
"ID_002.1","041.11",9
"ID_002.1","J15.212",10
"ID_002.1","A41.01",10
"ID_002.1",482.41,9
"ID_002.1","B95.62",10
"ID_002.1","A41.02",10
"ID_002.1","A49.02",10
"ID_002.1","B95.61",10
"ID_002.1",482.42,9
"ID_002.1","J15.21",10
"ID_002.1","A49.01",10
"ID_002.1","038.11",9
"ID_002.1","B95.6",10
"ID_002.1","P36.2",10
"ID_002.1","J15.211",10
"ID_002.1","A41.0",10
"ID_003","A04.4",10
"ID_003","008.09",9
"ID_003","P36.4",10
"ID_003","A04.1",10
"ID_003","008.02",9
"ID_003","A41.51",10
"ID_003","008.0",9
"ID_003","B96.23",10
"ID_003","041.43",9
"ID_003","J15.5",10
"ID_003","B96.20",10
"ID_003","041.4",9
"ID_003","A04.2",10
"ID_003","008.03",9
"ID_003","008.00",9
"ID_003",482.82,9
"ID_003","B96.22",10
"ID_003","041.42",9
"ID_003","B96.2",10
"ID_003","P23.4",10
"ID_003","A04.3",10
"ID_003","008.04",9
"ID_003","A04.0",10
"ID_003","008.01",9
"ID_003","038.42",9
"ID_003","B96.29",10
"ID_003","041.49",9
"ID_003","B96.21",10
"ID_003","041.41",9
"ID_004",391.0,9
"ID_004","041.03",9
"ID_004",482.3,9
"ID_004","J03.01",10
"ID_004","B95.1",10
"ID_004","A40",10
"ID_004","M00.12",10
"ID_004",482.30,9
"ID_004","M00.14",10
"ID_004","M00.16",10
"ID_004","M00.18",10
"ID_004","J13",10
"ID_004","A40.8",10
"ID_004",391,9
"ID_004","041.02",9
"ID_004","I01.9",10
"ID_004","J02.0",10
"ID_004","034.0",9
"ID_004","B95.0",10
"ID_004","P23.3",10
"ID_004","P36.19",10
"ID_004","A40.0",10
"ID_004",482.31,9
"ID_004","J15.4",10
"ID_004","A40.9",10
"ID_004","B95.4",10
"ID_004","G00.2",10
"ID_004","M00.119",10
"ID_004","M00.139",10
"ID_004","M00.159",10
"ID_004","M00.179",10
"ID_004","038.0",9
"ID_004","041.01",9
"ID_004","I01.8",10
"ID_004","J03.00",10
"ID_004",391.1,9
"ID_004","041.05",9
"ID_004","P36.1",10
"ID_004","I01.0",10
"ID_004","M00.112",10
"ID_004","M00.132",10
"ID_004","M00.152",10
"ID_004","M00.172",10
"ID_004",320.1,9
"ID_004","I01",10
"ID_004","A38.1",10
"ID_004",390,9
"ID_004","M00.111",10
"ID_004","M00.131",10
"ID_004","M00.151",10
"ID_004","M00.171",10
"ID_004","034",9
"ID_004","A40.1",10
"ID_004",482.32,9
"ID_004","J03.0",10
"ID_004","B95.3",10
"ID_004","A38.0",10
"ID_004",567.1,9
"ID_004","041.00",9
"ID_004","M00.11",10
"ID_004","M00.13",10
"ID_004","M00.15",10
"ID_004","M00.17",10
"ID_004",391.2,9
"ID_004","P36.10",10
"ID_004","I01.1",10
"ID_004","A38.9",10
"ID_004","038.2",9
"ID_004","G00.1",10
"ID_004","A49.1",10
"ID_004","A38",10
"ID_004","M00.10",10
"ID_004","M00.129",10
"ID_004","M00.149",10
"ID_004","M00.169",10
"ID_004","A38.8",10
"ID_004","035",9
"ID_004","J20.2",10
"ID_004","A46",10
"ID_004","041.2",9
"ID_004","P36.0",10
"ID_004","I00",10
"ID_004","A40.3",10
"ID_004",391.9,9
"ID_004",482.39,9
"ID_004","M00.1",10
"ID_004","M00.122",10
"ID_004","M00.142",10
"ID_004","M00.162",10
"ID_004","B95.5",10
"ID_004",481,9
"ID_004","J15.3",10
"ID_004","034.1",9
"ID_004",391.8,9
"ID_004","041.0",9
"ID_004","I01.2",10
"ID_004",320.2,9
"ID_004","041.09",9
"ID_004","M00.121",10
"ID_004","M00.141",10
"ID_004","M00.161",10
"ID_004","M00.19",10
"ID_004.1","041.2",9
"ID_004.1","A40.3",10
"ID_004.1","M00.1",10
"ID_004.1","M00.122",10
"ID_004.1","M00.142",10
"ID_004.1","M00.162",10
"ID_004.1",481,9
"ID_004.1","M00.121",10
"ID_004.1","M00.141",10
"ID_004.1","M00.161",10
"ID_004.1","M00.19",10
"ID_004.1","M00.12",10
"ID_004.1","M00.14",10
"ID_004.1","M00.16",10
"ID_004.1","M00.18",10
"ID_004.1","J13",10
"ID_004.1","M00.119",10
"ID_004.1","M00.139",10
"ID_004.1","M00.159",10
"ID_004.1","M00.179",10
"ID_004.1","M00.112",10
"ID_004.1","M00.132",10
"ID_004.1","M00.152",10
"ID_004.1","M00.172",10
"ID_004.1",320.1,9
"ID_004.1","M00.111",10
"ID_004.1","M00.131",10
"ID_004.1","M00.151",10
"ID_004.1","M00.171",10
"ID_004.1",567.1,9
"ID_004.1","M00.11",10
"ID_004.1","M00.13",10
"ID_004.1","M00.15",10
"ID_004.1","M00.17",10
"ID_004.1","038.2",9
"ID_004.1","G00.1",10
"ID_004.1","M00.10",10
"ID_004.1","M00.129",10
"ID_004.1","M00.149",10
"ID_004.1","M00.169",10
"ID_004.2","I00",10
"ID_004.2",391.9,9
"ID_004.2",391.8,9
"ID_004.2","I01.2",10
"ID_004.2",391.0,9
"ID_004.2",391,9
"ID_004.2","I01.9",10
"ID_004.2","B95.0",10
